age,income,debt_ratio,employment_years,region,has_mortgage,enquiries_6m,postcode_noise,defaulted
61,47209,0.169,11.7,inland,no,3,6942,yes
33,28441,0.138,9,coastal,yes,2,2680,no
67,53011,0.193,10.2,south,no,1,2392,yes
67,31758,0.422,8.5,south,yes,3,9853,yes
45,40562,0.146,5.6,inland,yes,3,104,yes
50,37386,0.286,7.7,coastal,yes,3,4499,no
53,29796,0.445,7,south,yes,0,9089,yes
34,34349,0.223,7,inland,yes,0,7897,no
45,31868,0.838,6.4,coastal,no,5,7447,yes
47,49992,0.448,11,north,no,1,7261,no
31,43163,0.396,3.4,south,no,5,4150,yes
53,62589,0.159,4.5,north,yes,2,5886,yes
25,32692,0.377,3.1,coastal,yes,4,9931,no
28,39191,0.357,1.8,inland,no,0,3014,no
54,38978,0.284,2.7,inland,no,1,8686,yes
61,47800,0.424,6.4,south,yes,5,5457,no
52,44010,0.678,7.5,inland,no,1,5726,yes
38,41092,0.02,0,coastal,no,2,7215,yes
62,39901,0.405,7.9,coastal,no,3,4552,yes
36,73790,0.425,3.6,south,no,3,9310,no
37,77995,0.177,7.2,north,no,3,7426,yes
38,31990,0.266,8.4,coastal,yes,0,6625,no
24,39644,0.259,4,south,no,4,1236,yes
52,61804,0.628,7.2,coastal,yes,1,5642,no
46,42124,0.112,1.7,north,no,0,4316,no
25,67196,0.145,1.2,inland,yes,2,2529,yes
59,33656,0.243,12.1,south,no,2,9377,no
30,43190,0.423,9.4,inland,yes,4,3823,yes
41,69253,0.367,4.5,inland,yes,2,7936,yes
23,32220,0.657,3,inland,no,3,5902,yes
37,88566,0.424,6.6,coastal,yes,0,5584,no
46,,0.517,6.2,coastal,yes,3,2995,no
23,39804,0.136,2.1,south,no,2,8575,no
46,44816,0.266,7.8,north,yes,5,9872,yes
64,23423,0.262,8.6,inland,yes,4,1993,no
32,38726,0.325,6.2,coastal,no,4,6133,yes
55,73116,0.247,0,coastal,no,4,1059,yes
41,26308,0.02,14.6,inland,yes,2,1697,no
29,46033,0.172,9,inland,no,4,1521,yes
47,26750,0.562,3.2,south,no,3,9020,yes
39,71322,0.536,8.7,south,yes,0,120,no
55,42241,0.354,10.8,north,yes,5,7219,no
46,67900,0.23,3.4,north,yes,0,4572,yes
23,34981,0.169,0,north,no,5,5354,yes
22,25170,0.169,2,inland,yes,1,2949,no
63,31982,0.187,7,coastal,yes,5,4235,no
48,34037,0.137,8.9,inland,no,0,2617,yes
40,25683,0.04,7.2,south,yes,5,5026,yes
53,63656,0.176,7.6,coastal,no,0,1614,yes
46,45457,0.152,0,inland,yes,3,2861,yes
28,63616,0.115,8,north,yes,1,9978,yes
42,42914,0.354,0,north,yes,4,7268,no
61,22992,0.106,1,south,no,1,7532,yes
53,23798,0.063,1.5,inland,yes,5,1317,no
57,22098,0.676,0.8,south,yes,0,7474,yes
62,36576,0.365,4.2,south,yes,1,1027,no
49,50336,0.641,2.7,coastal,yes,3,7191,no
46,23813,0.293,9.2,south,yes,0,6253,no
67,36870,0.384,10.4,coastal,no,0,7502,yes
51,54728,0.466,13.3,inland,no,2,8315,yes
23,52678,0.108,3,inland,no,3,5427,yes
23,23790,0.323,3,south,yes,0,7998,no
40,83965,0.37,9.7,south,no,1,1687,no
65,67775,0.308,7.6,coastal,no,5,7559,yes
53,58232,0.379,0,inland,yes,2,494,yes
22,28963,0.343,2,south,yes,4,7470,no
28,51585,0.385,7.6,coastal,no,1,6479,no
64,48416,0.211,3.5,inland,no,1,8474,yes
43,50773,0.235,8.2,north,yes,5,5050,yes
58,28343,0.299,8.4,inland,no,3,5516,no
64,60066,0.535,4.6,south,no,3,4814,yes
31,105817,0.547,9.9,inland,yes,3,3819,no
54,54242,0.071,8.8,inland,no,1,2199,yes
52,23097,0.402,1.3,south,yes,2,3627,yes
61,,0.02,8.6,inland,no,5,3948,yes
63,61898,0.525,11.7,south,yes,0,3739,no
41,26355,0.5,12.7,south,yes,3,3266,yes
28,50101,0.15,0,south,yes,1,5088,no
61,50318,0.383,3.9,south,yes,4,397,no
53,37069,0.128,3.3,south,no,2,3508,no
45,29746,0.283,0,north,no,5,3952,yes
29,67662,0.415,3,north,no,4,3187,no
47,39823,0.173,3,south,yes,5,7419,no
53,68043,0.283,8,coastal,yes,1,8782,no
48,63036,0.297,4.1,north,yes,1,3577,no
67,50085,0.217,11.2,inland,no,3,1431,no
41,,0.398,0,inland,no,4,1908,yes
28,32762,0.021,0,coastal,yes,1,8386,no
42,44718,0.273,0,coastal,yes,1,3352,yes
49,44463,0.307,11.5,coastal,yes,3,2373,yes
64,29446,0.201,17,coastal,no,5,7199,yes
51,32914,0.312,8.6,north,yes,0,4335,no
61,32717,0.252,3.1,inland,no,5,1789,yes
31,33732,0.113,1.7,coastal,no,4,5014,yes
61,35183,0.458,3.1,inland,yes,1,6590,yes
27,32642,0.02,4.2,inland,yes,0,4998,no
48,23417,0.062,4.3,inland,yes,3,5387,no
43,30858,0.153,13.2,north,no,1,1580,no
56,26188,0.39,7.1,inland,yes,2,7815,yes
31,29706,0.562,3.3,inland,yes,2,7778,yes
40,68808,0.241,5.6,south,no,3,6618,yes
25,54907,0.603,2.4,inland,yes,5,6946,no
35,49499,0.353,8.2,north,no,2,4293,yes
23,53767,0.21,3,south,yes,5,4548,yes
50,42641,0.164,6.5,north,no,0,4660,no
52,27465,0.33,4.8,north,yes,5,1005,no
24,24785,0.453,4,inland,no,4,6435,yes
47,40013,0.401,0,inland,yes,0,3633,yes
42,34776,0.286,9.5,north,no,1,524,yes
51,30168,0.275,5.6,south,no,3,3567,yes
27,73054,0.293,7,coastal,no,0,2038,no
23,73464,0.365,3,inland,no,0,9750,yes
38,63835,0.363,0,north,no,4,3941,yes
38,45274,0.024,6.1,coastal,yes,2,6268,yes
35,34655,0.352,9.7,north,no,2,9990,no
66,36342,0.207,4.1,north,no,0,3254,no
64,28424,0.357,10.5,coastal,no,2,6171,no
46,38256,0.224,2.4,coastal,no,0,3715,no
61,32837,0.02,12.7,north,no,2,3313,yes
29,52582,0.483,0.6,coastal,yes,2,7848,no
55,70621,0.187,6.7,south,no,0,7957,yes
26,28338,0.271,2.5,south,yes,3,6492,no
63,23674,0.142,6.4,south,no,3,3193,no
49,48933,0.303,5,north,no,0,6848,yes
57,33586,0.105,7,coastal,no,0,6140,no
47,51683,0.404,5.8,coastal,yes,1,3047,no
45,39810,0.381,15.1,south,no,3,3945,yes
57,26351,0.157,2.7,south,yes,0,4739,no
46,56885,0.34,7.7,south,yes,5,7998,yes
37,56726,0.128,8.7,north,no,0,4906,yes
34,88462,0.157,6.8,north,yes,0,7674,no
30,68721,0.02,4.2,south,yes,4,3223,yes
60,26526,0.073,6.8,inland,yes,0,9909,no
47,24495,0.245,6.7,south,yes,1,2585,no
46,26765,0.387,6.1,coastal,yes,5,2826,yes
48,51446,0.373,2.3,inland,no,5,6227,yes
23,28088,0.265,3,coastal,yes,5,747,yes
41,54430,0.091,7.3,coastal,no,5,6698,yes
39,29745,0.202,3.1,coastal,yes,3,1691,yes
54,33104,0.36,7,south,no,2,5817,no
44,55984,0.272,14.9,inland,no,4,8754,yes
57,45218,0.295,8.7,south,no,1,1472,yes
60,36709,0.412,8.8,south,no,2,1558,yes
37,46424,0.106,5.6,coastal,no,2,6487,yes
46,26962,0.337,5.1,inland,no,0,8491,no
63,34959,0.208,9.3,coastal,no,3,317,no
41,43691,0.206,2.7,inland,no,3,4228,no
61,23104,0.165,2.4,north,yes,3,9924,no
52,66695,0.196,8.9,inland,no,3,2578,yes
39,,0.41,11.8,coastal,yes,4,780,yes
63,69128,0.307,15.6,north,yes,4,7278,yes
45,56782,0.349,8.6,south,yes,3,3602,yes
37,69891,0.152,12.2,north,no,2,1804,yes
48,23440,0.225,9.3,inland,no,4,8651,no
67,,0.286,0.7,north,yes,0,1698,no
35,42827,0.777,5.6,south,no,1,5408,yes
67,36647,0.622,3.9,inland,yes,3,3341,yes
34,57113,0.423,3.7,coastal,no,2,4336,no
23,59086,0.212,3,north,no,3,2214,yes
60,27345,0.079,5.6,inland,no,0,2405,no
41,63200,0.471,0,south,no,3,7406,no
54,37797,0.084,7,north,no,4,4812,no
36,39523,0.316,14.9,south,no,5,4489,yes
56,30228,0.463,4.6,inland,yes,2,6063,no
54,27135,0.402,3,inland,yes,1,1550,no
49,34938,0.293,12.5,south,no,5,5882,no
45,24595,0.426,10.8,north,no,1,2410,yes
53,38773,0.324,11.2,south,yes,1,6283,no
66,36332,0.383,0,south,yes,5,5795,yes
22,22862,0.199,2,inland,yes,1,370,no
58,28145,0.288,9.1,inland,no,4,3261,no
50,54116,0.218,0,north,yes,5,9061,yes
26,75777,0.297,0.5,north,no,0,8995,no
26,73413,0.42,4.3,inland,yes,3,864,no
50,53468,0.142,9.3,inland,yes,3,1620,no
57,46763,0.532,0,coastal,yes,1,5996,no
44,32066,0.309,4.7,north,no,4,3184,no
22,27112,0.368,2,coastal,no,0,7718,no
60,39620,0.322,1,inland,no,3,5365,yes
62,52834,0.177,10.8,north,no,4,5727,yes
31,40650,0.578,3.4,coastal,yes,5,527,yes
29,23859,0.045,0.9,north,yes,3,4648,no
31,43634,0.497,0,south,yes,5,7408,yes
47,41982,0.304,8,inland,no,3,2585,yes
58,69547,0.237,7.9,north,no,3,6507,yes
37,56207,0.237,6.1,inland,yes,1,5866,yes
44,46446,0.266,3.1,inland,yes,3,7709,yes
38,42771,0.111,5,south,yes,5,3218,yes
47,24186,0.27,10,north,yes,3,9468,no
63,38208,0.02,5.1,south,no,1,1165,yes
34,38117,0.174,8.3,north,no,0,3640,no
28,63061,0.142,7,coastal,no,3,7075,no
65,39355,0.295,10.8,inland,yes,3,6176,yes
30,27758,0.731,4.4,inland,no,2,758,yes
61,50873,0.134,10.6,inland,no,3,9041,yes
61,44200,0.363,8.5,coastal,yes,0,4004,yes
59,30763,0.357,0.8,inland,yes,1,8112,no
56,28299,0.362,8.6,north,no,5,6296,no
41,80803,0.446,5.8,south,no,5,5955,yes
65,39754,0.174,2.4,south,yes,1,8108,no
29,30800,0.367,9,north,no,0,2910,no
62,37062,0.527,13.9,coastal,no,1,448,yes
63,48006,0.238,11.8,south,yes,4,1634,yes
57,63008,0.328,15.1,north,no,2,9287,yes
47,38513,0.425,7.9,coastal,no,5,9093,yes
66,45458,0.488,9,inland,no,2,9757,yes
63,61817,0.174,5.5,north,no,3,7885,yes
58,31175,0.484,4.6,inland,yes,0,6033,no
57,28681,0.219,10.2,north,yes,0,1451,no
63,45382,0.183,3.8,inland,yes,5,8758,yes
51,,0.138,0,inland,no,4,8151,yes
56,34392,0.02,6.1,north,yes,1,1135,no
29,54879,0.321,8.6,south,no,4,4756,yes
46,42838,0.477,9.9,inland,yes,3,3214,yes
64,48904,0.02,5.6,south,yes,4,6354,yes
33,25145,0.02,6,inland,no,3,2286,yes
38,69359,0.215,3.4,inland,yes,1,2458,yes
33,70018,0.261,11.9,inland,no,5,5094,yes
30,31094,0.02,7.4,inland,no,5,8699,no
51,,0.341,3.3,south,no,5,938,yes
63,23570,0.02,11.2,south,yes,4,4536,no
33,56343,0.663,6.9,south,no,4,6805,no
39,39806,0.412,7.1,south,no,3,5586,yes
59,41388,0.158,0.6,south,yes,4,1925,no
59,55275,0.194,7.6,coastal,yes,1,3625,yes
30,51881,0.362,3.7,south,yes,0,917,yes
65,33440,0.286,5.2,south,yes,0,2402,no
49,35162,0.232,7.3,north,yes,4,7300,no
27,43821,0.191,5.4,south,no,1,3751,no
49,54146,0.45,6.7,south,no,0,9135,no
27,25334,0.231,4.7,coastal,yes,3,1470,yes
53,25315,0.214,7.2,coastal,no,3,7347,yes
27,47851,0.27,7,south,no,3,6247,no
45,49775,0.143,8.3,inland,no,3,2102,no
39,30271,0.185,0.4,inland,yes,5,4801,no
65,39917,0.323,3,inland,yes,5,5357,yes
26,69313,0.453,6,inland,yes,0,9619,no
23,35586,0.28,3,inland,yes,2,3441,no
39,60250,0.033,3.1,coastal,no,5,3383,yes
64,30777,0.838,6.9,coastal,no,5,6498,yes
30,60267,0.161,3.8,south,no,5,1142,yes
45,73254,0.1,2.4,coastal,no,1,6411,yes
60,22918,0.561,10.5,inland,yes,2,355,yes
66,45493,0.423,8.9,coastal,no,2,168,no
33,95646,0.3,6.2,coastal,yes,3,9868,yes
62,23244,0.672,0,south,no,5,4047,yes
26,46188,0.048,6,south,no,3,3230,yes
22,25395,0.259,2,south,no,2,6710,no
39,39132,0.075,5.5,inland,yes,1,1019,no
52,22701,0.268,5,inland,no,5,7627,no
30,27830,0.167,5.5,south,yes,0,2347,no
46,27032,0.274,9.4,north,no,5,2946,no
34,47307,0.387,1.3,north,no,1,9788,yes
28,77803,0.381,0,south,yes,5,1863,no
61,42459,0.253,6.1,north,yes,2,8196,yes
26,52818,0.503,5.2,south,no,3,6346,no
52,24610,0.357,6.9,inland,no,2,254,no
28,35417,0.257,6.1,south,no,1,2766,no
43,27975,0.209,10,south,yes,4,7942,yes
43,25868,0.444,7.2,coastal,yes,1,1529,yes
56,49061,0.02,4.5,north,yes,4,7959,no
37,43879,0.198,6.3,south,yes,5,3539,no
24,58362,0.34,4,inland,yes,1,8485,yes
38,39864,0.373,2.6,coastal,no,0,7568,no
50,28681,0.504,6,south,no,5,5161,yes
62,58636,0.214,8.4,south,no,2,7003,yes
50,39869,0.148,9.5,coastal,no,1,5680,no
66,60871,0.402,10,south,no,3,3629,no
47,28098,0.124,1.4,inland,yes,0,1816,no
30,31528,0.278,4,south,no,2,5861,yes
24,35880,0.141,4,coastal,no,3,3343,no
25,53135,0.181,5,south,yes,4,5311,yes
46,63110,0.455,6.8,south,no,1,8380,yes
23,42996,0.344,3,south,yes,4,2414,yes
44,32850,0.02,2.8,north,no,4,2796,no
27,30551,0.417,3.9,south,yes,2,8480,yes
67,33404,0.375,0,south,no,5,7624,yes
30,61012,0.078,5.1,south,no,0,3578,yes
24,79936,0.02,2.7,inland,no,4,5829,yes
30,31711,0.279,2.4,coastal,no,4,6941,no
53,44168,0.272,15.6,north,no,5,7697,no
22,24828,0.325,2,inland,no,2,2257,no
31,68306,0.02,10.8,north,yes,1,6926,no
24,47813,0.193,4,north,no,3,8638,yes
56,22455,0.52,12.8,coastal,yes,0,1435,no
64,36642,0.718,9.4,south,yes,1,5408,yes
44,,0.612,0.3,coastal,no,3,4367,yes
23,37927,0.297,3,north,no,0,8969,no
43,24972,0.229,9,inland,yes,3,7392,no
62,49839,0.205,2.7,coastal,no,5,2627,yes
40,51073,0.432,4.3,north,no,2,6033,no
39,40920,0.359,9.5,coastal,yes,5,1169,yes
37,23659,0.098,6.3,inland,yes,2,6171,no
59,54835,0.232,12.5,south,no,0,9520,yes
32,34164,0.235,9.6,south,no,1,4693,no
56,71036,0.327,3.8,coastal,no,0,9933,yes
39,37841,0.568,14.5,south,yes,2,3411,yes
63,37225,0.174,4.7,coastal,no,4,7122,yes
43,56652,0.449,1.2,inland,no,1,5604,no
51,26302,0.487,1.6,north,no,4,3623,yes
53,44848,0.02,3.6,north,no,5,1724,yes
28,31431,0.348,2.9,inland,no,5,2140,no
24,23790,0.038,4,inland,yes,3,7383,no
45,,0.235,8.2,north,yes,3,5420,no
29,30171,0.342,0,coastal,no,3,1514,yes
61,71190,0.422,5.4,north,no,1,6929,yes
33,22780,0.077,8.2,south,no,0,764,no
42,37067,0.183,7.5,north,yes,2,843,no
53,49348,0.147,0,south,no,2,487,yes
48,38772,0.365,6.1,north,no,5,7266,yes
55,53882,0.225,4.8,coastal,no,3,2337,yes
29,27032,0.349,9,inland,yes,4,1690,no
45,23051,0.611,9.7,south,no,1,6182,yes
61,55179,0.352,1.3,north,yes,4,535,yes
40,59661,0.214,5.9,coastal,no,1,2368,yes
47,29192,0.209,10.9,coastal,no,3,1976,yes
65,51585,0.066,2.6,north,no,2,7809,yes
55,71913,0.02,1.1,inland,no,4,2879,yes
44,25046,0.294,6.5,coastal,no,4,5807,no
37,46048,0.21,0,coastal,yes,4,6782,yes
55,,0.035,9.5,south,yes,1,6517,yes
51,46921,0.437,6.2,north,yes,0,5521,yes
40,23155,0.154,0.1,north,no,1,646,yes
46,59107,0.175,10.5,coastal,yes,1,4103,yes
29,83261,0.219,7.1,north,no,5,4892,yes
27,28000,0.415,5.3,north,yes,3,4269,yes
57,51087,0.02,0.7,inland,yes,0,9264,yes
34,51551,0.489,8.8,inland,no,3,9601,no
53,40362,0.419,5.7,north,no,3,1563,yes
34,27278,0.509,8.8,north,no,3,4694,yes
60,61750,0.217,6.2,coastal,yes,3,6589,yes
45,35839,0.362,10.8,coastal,no,3,3954,no
47,33471,0.148,9.2,north,no,1,3461,yes
40,53298,0.179,9.1,coastal,no,3,6653,no
22,47771,0.241,2,inland,yes,0,2631,yes
54,22658,0.18,4.7,inland,no,1,4596,no
41,76766,0.36,2.3,coastal,no,2,212,yes
22,33659,0.228,2,south,yes,0,5957,no
27,24748,0.803,7,inland,no,2,5065,yes
40,29597,0.242,9.3,coastal,yes,3,8208,no
35,37744,0.277,11.7,south,no,3,6144,no
47,34695,0.601,6.2,inland,yes,2,4612,yes
51,70388,0.416,7.1,north,no,4,8366,yes
33,49756,0.08,1.4,coastal,no,4,290,yes
52,68388,0.302,4.2,south,no,3,4155,yes
60,,0.19,5.7,coastal,no,3,8895,no
40,42436,0.603,1.6,north,no,3,5187,yes
36,47293,0.42,8.8,north,no,1,7846,no
64,49921,0.55,6.8,inland,yes,2,8267,no
44,49164,0.542,12.9,north,no,5,784,no
31,35355,0.339,7,coastal,no,1,482,no
48,57843,0.312,7.5,inland,yes,3,9821,yes
36,34109,0.357,8.2,south,yes,5,9413,yes
33,64492,0.221,7.3,coastal,no,0,252,yes
31,43591,0.233,3.7,north,yes,2,3507,no
31,30510,0.113,2.8,south,no,3,6227,no
45,27883,0.222,5.7,inland,no,1,249,no
63,46441,0.162,5.7,north,no,0,3686,yes
30,71792,0.534,5.3,north,no,2,5570,no
43,34808,0.27,0,north,no,1,8500,yes
42,52025,0.243,12.6,inland,yes,5,7142,yes
57,58958,0.715,9.2,inland,yes,3,3963,yes
22,29801,0.309,2,coastal,no,1,8683,yes
50,,0.272,8.2,north,no,3,8266,yes
37,48761,0.128,5.7,inland,no,1,4762,yes
58,69680,0.264,1.3,south,no,0,3898,yes
25,48869,0.304,4.5,inland,no,4,2706,no
50,43484,0.949,9.9,south,no,0,2856,yes
60,31729,0.605,9.6,south,no,3,8963,yes
23,40152,0.244,3,inland,yes,5,1828,no
59,38761,0.548,1.2,south,no,4,3941,yes
67,63396,0.373,16.2,inland,no,2,6533,yes
33,64351,0.502,2.4,south,no,4,8751,no
36,33839,0.457,6.5,coastal,no,4,1035,yes
66,56594,0.28,5.9,coastal,no,2,1613,no
37,33389,0.37,8.6,inland,yes,1,6542,no
43,34321,0.266,6.3,north,no,0,1700,no
59,52957,0.427,6.1,inland,no,4,9802,yes
50,28100,0.02,12,south,no,4,7814,yes
58,38475,0.2,4.7,north,yes,5,4174,no
38,36144,0.072,0,south,no,2,3485,yes
55,35627,0.478,6.7,coastal,no,4,2001,yes
56,35924,0.02,0,south,no,2,2038,yes
30,29407,0.229,2.7,north,no,5,3263,yes
29,74731,0.539,9,south,yes,0,3215,no
59,40814,0.044,6.1,south,no,0,525,yes
59,57374,0.02,5.8,north,no,0,2691,yes
60,55175,0.205,8.2,south,no,4,3482,no
36,38570,0.124,5.7,inland,no,1,7636,yes
22,23294,0.133,2,inland,no,4,1433,yes
49,38065,0.21,6.3,north,no,0,756,no
56,42338,0.279,3.9,south,yes,5,4684,no
38,32593,0.3,8.1,south,no,0,7381,no
42,31098,0.21,9.3,coastal,no,2,1143,no
42,31438,0.324,12.5,south,yes,1,4673,yes
43,42259,0.198,1,south,yes,2,1824,no
34,44715,0.253,10.7,inland,no,0,9516,no
59,50845,0.342,0.8,south,no,5,6286,yes
23,44039,0.522,3,north,yes,3,470,yes
39,41012,0.245,6.4,inland,no,3,1812,yes
23,56701,0.198,0,coastal,no,5,8368,yes
37,24045,0.38,0.2,inland,yes,3,7894,no
27,44207,0.323,5.2,north,yes,0,4668,yes
66,42347,0.394,14.5,coastal,no,1,2522,yes
57,26642,0.196,13.4,north,yes,0,8873,no
32,38896,0.02,5.6,coastal,no,5,1404,no
49,26679,0.292,0,coastal,yes,0,799,no
22,66720,0.117,2,coastal,no,1,8270,yes
66,45585,0.503,0.2,coastal,no,2,1129,no
46,86041,0.41,9.2,south,no,3,1217,yes
44,74285,0.443,8.6,south,no,0,8222,yes
34,36178,0.465,7.7,north,yes,5,8559,yes
27,51069,0.138,7,south,no,2,3551,yes
39,48277,0.17,5.3,coastal,yes,3,8067,yes
50,27390,0.249,14.3,inland,no,2,556,no
43,36081,0.222,6.4,coastal,yes,1,4304,no
55,35695,0.46,8.8,south,no,5,6812,yes
46,31535,0.397,11.1,north,no,4,8990,yes
51,40468,0.536,7,north,no,4,9219,yes
59,57072,0.444,3,north,no,4,1583,no
50,60177,0.676,9.3,south,yes,0,509,no
43,33003,0.279,7.3,coastal,no,1,3516,no
67,29055,0.216,4.7,south,no,3,5107,no
54,57014,0.322,8.4,south,yes,0,1508,yes
58,33096,0.053,11.3,coastal,yes,5,8544,yes
49,46061,0.26,0.3,north,no,5,8894,yes
50,63748,0.115,1.4,inland,no,1,16,yes
55,70539,0.224,2.7,inland,yes,1,5037,no
42,31271,0.128,5.9,inland,no,2,5329,yes
38,67610,0.594,9.7,south,no,3,5902,yes
58,47036,0.522,6.7,coastal,yes,3,2001,no
33,52987,0.284,6.9,south,no,0,5436,yes
63,44444,0.022,0,inland,no,5,210,no
33,49094,0.281,9.5,north,no,2,597,no
43,24674,0.184,6.9,inland,yes,4,1739,no
33,70592,0.162,10.9,south,yes,1,4098,yes
28,44230,0.051,8,north,yes,5,820,yes
55,62579,0.172,0,south,no,0,8500,yes
34,52449,0.144,5,south,yes,3,7911,yes
61,41628,0.305,6,coastal,yes,5,7294,yes
22,45009,0.047,0,inland,yes,2,4533,yes
62,32672,0.453,8.1,inland,no,1,1332,yes
39,55184,0.355,7.3,inland,yes,0,7450,yes
24,34042,0.124,4,south,yes,1,684,no
53,,0.032,5,north,yes,2,8849,no
40,27346,0.355,6.3,inland,yes,4,8438,no
42,49747,0.296,10.9,inland,no,2,2336,no
66,40721,0.313,11.4,coastal,no,5,3839,no
39,23715,0.409,9.7,north,no,0,625,yes
65,23304,0.18,1.6,coastal,yes,3,1283,yes
40,60288,0.02,0,south,yes,1,2831,yes
55,,0.471,12,north,no,2,6020,yes
52,79243,0.205,2.2,south,no,2,5133,yes
65,41435,0.551,2.5,coastal,no,5,6267,yes
45,41950,0.14,8.8,south,no,5,7391,yes
34,53601,0.232,5.1,inland,no,2,78,yes
56,27046,0.202,9.2,south,yes,4,3310,yes
29,71009,0.038,9,coastal,no,0,1308,yes
52,36882,0.143,12.5,north,no,5,3311,no
64,76887,0.452,7.4,inland,no,5,2910,yes
38,30821,0.22,9.4,coastal,no,5,4287,no
59,53296,0.171,3.1,north,no,2,2184,yes
67,72073,0.451,0,south,yes,2,6929,yes
59,27490,0.311,3.9,coastal,no,4,4734,yes
23,48920,0.152,3,coastal,yes,5,3630,yes
25,31151,0.303,5,inland,no,3,868,no
66,32033,0.184,4.8,north,no,0,3062,no
33,28420,0.572,5.5,south,yes,0,4678,yes
35,42602,0.02,9.5,north,yes,0,8214,no
46,46547,0.238,10.5,south,no,2,1651,yes
34,34703,0.02,5.1,north,yes,4,4848,no
39,60563,0.288,6.2,south,no,5,3974,yes
63,28176,0.28,10.7,south,yes,0,3324,yes
55,36240,0.202,5.6,south,no,2,49,no
25,51071,0.457,5,inland,yes,3,733,no
35,44553,0.361,1.6,inland,no,5,1756,no
61,70747,0.235,12.9,north,no,1,5364,yes
50,26989,0.421,8.8,south,no,1,6878,no
32,50633,0.394,3.9,coastal,yes,4,9993,no
27,30255,0.192,7,coastal,yes,3,2596,no
49,26921,0.111,12.9,inland,yes,4,4883,no
45,30848,0.302,4.3,north,no,1,6267,no
38,39714,0.199,6,south,no,3,8302,yes
35,35452,0.02,7.6,inland,no,4,5000,yes
44,30494,0.155,8,coastal,yes,2,3615,no
30,,0.27,9.1,north,no,2,9708,yes
50,36872,0.172,3.1,north,no,5,5407,no
30,73954,0.458,8.9,north,no,0,3731,yes
66,36791,0.02,0,north,no,1,2206,no
55,40613,0.586,5,coastal,no,5,233,yes
54,57223,0.212,6.1,north,no,5,1369,yes
59,27820,0.498,10,south,no,2,2253,yes
42,55458,0.323,3.5,coastal,no,0,503,yes
49,74137,0.303,4.1,south,yes,5,6528,yes
23,34676,0.318,3,south,no,1,3390,yes
50,51798,0.113,13,south,yes,4,8076,yes
60,33157,0.317,3.8,inland,no,0,6051,yes
46,45584,0.02,6.9,inland,no,3,6592,yes
55,23553,0.385,7.6,north,yes,5,8148,yes
63,71342,0.279,3.4,north,yes,3,9845,yes
41,29564,0.271,10.8,south,no,1,4272,no
39,44074,0.082,4.8,coastal,yes,3,3965,no
24,41769,0.206,4,coastal,no,2,2323,yes
61,43063,0.318,5.7,coastal,no,1,9822,no
28,47127,0.071,3.7,inland,yes,3,490,no
63,28128,0.094,0,north,yes,5,6361,no
53,27878,0.558,8.3,south,yes,3,9819,no
