date,price
2024-10-13,90.26
2024-10-14,89.49
2024-10-15,86.90
2024-10-16,87.10
2024-10-17,88.04
2024-10-18,89.78
2024-10-19,90.34
2024-10-20,87.26
2024-10-21,86.16
2024-10-22,86.63
2024-10-23,86.06
2024-10-24,85.51
2024-10-25,83.92
2024-10-26,83.53
