date,units
2024-12-21,438
2024-12-22,283
2024-12-23,403
2024-12-24,328
2024-12-25,310
2024-12-26,335
2024-12-27,373
2024-12-28,439
2024-12-29,269
2024-12-30,406
2024-12-31,349
2025-01-01,345
2025-01-02,323
2025-01-03,392
2025-01-04,430
2025-01-05,241
2025-01-06,395
2025-01-07,337
2025-01-08,335
2025-01-09,338
2025-01-10,368
2025-01-11,440
2025-01-12,264
2025-01-13,400
2025-01-14,326
2025-01-15,315
2025-01-16,349
2025-01-17,373
2025-01-18,433
2025-01-19,247
2025-01-20,406
2025-01-21,321
2025-01-22,326
2025-01-23,323
2025-01-24,400
2025-01-25,451
2025-01-26,276
2025-01-27,421
2025-01-28,321
2025-01-29,319
2025-01-30,291
2025-01-31,385
2025-02-01,460
2025-02-02,273
2025-02-03,402
2025-02-04,356
2025-02-05,321
2025-02-06,326
2025-02-07,359
2025-02-08,447
2025-02-09,279
2025-02-10,438
2025-02-11,316
2025-02-12,351
2025-02-13,351
2025-02-14,361
2025-02-15,467
2025-02-16,272
2025-02-17,444
2025-02-18,304
2025-02-19,335
2025-02-20,329
2025-02-21,395
2025-02-22,396
2025-02-23,281
